in:Massing Option,in:Exterior Wall U-Value (BTU/hr ft2 F),in:Exterior Window Types,in:Window Head Height Factor,out:cooling EUI (kBTU/sf yr),out:heating EUI (kBTU/sf yr),out:lighting EUI (kBTU/sf yr),out:plug EUI (kBTU/sf yr),out:fan EUI (kBTU/sf yr),out:pump EUI (kBTU/sf yr),out:heat rejection EUI (kBTU/sf yr),out:humidification EUI (kBTU/sf yr),out:Total EUI Factor,img,threeD
A,0.055,Code,1,27.45,43.69,18.02,41.67,1.9,3.12,1.59,0,0.974,http://omati-regdes01/REPSParametrics/design_explorer_data/DefaultData/MassingOptionA_ExteriorWallU-Value(BTUhrft2F)0.055_ExteriorWindowTypesU-0.38SHGC-0.38VT-0.42_EXTWINDOW_WindowHeadHeightFactor1.0_DesignExplorerView.png,http://omati-regdes01/REPSParametrics/design_explorer_data/DefaultData/MassingOptionA_ExteriorWallU-Value(BTUhrft2F)0.055_ExteriorWindowTypesU-0.38SHGC-0.38VT-0.42_EXTWINDOW_WindowHeadHeightFactor1.0.json
B,0.055,Code,1,28.06,43.9,18.3,44.07,2.01,3.18,1.6,0,1,http://omati-regdes01/REPSParametrics/design_explorer_data/DefaultData/MassingOptionB_ExteriorWallU-Value(BTUhrft2F)0.055_ExteriorWindowTypesU-0.38SHGC-0.38VT-0.42_EXTWINDOW_WindowHeadHeightFactor1.0_DesignExplorerView.png,http://omati-regdes01/REPSParametrics/design_explorer_data/DefaultData/MassingOptionB_ExteriorWallU-Value(BTUhrft2F)0.055_ExteriorWindowTypesU-0.38SHGC-0.38VT-0.42_EXTWINDOW_WindowHeadHeightFactor1.0.json
C,0.055,Code,1,26.36,42.67,17.29,40.27,1.81,3.08,1.53,0,0.943,http://omati-regdes01/REPSParametrics/design_explorer_data/DefaultData/MassingOptionC_ExteriorWallU-Value(BTUhrft2F)0.055_ExteriorWindowTypesU-0.38SHGC-0.38VT-0.42_EXTWINDOW_WindowHeadHeightFactor1.0_DesignExplorerView.png,http://omati-regdes01/REPSParametrics/design_explorer_data/DefaultData/MassingOptionC_ExteriorWallU-Value(BTUhrft2F)0.055_ExteriorWindowTypesU-0.38SHGC-0.38VT-0.42_EXTWINDOW_WindowHeadHeightFactor1.0.json
D,0.055,Code,1,27.8,45.32,17.48,40.84,1.82,3.21,1.62,0,0.979,http://omati-regdes01/REPSParametrics/design_explorer_data/DefaultData/MassingOptionD_ExteriorWallU-Value(BTUhrft2F)0.055_ExteriorWindowTypesU-0.38SHGC-0.38VT-0.42_EXTWINDOW_WindowHeadHeightFactor1.0_DesignExplorerView.png,http://omati-regdes01/REPSParametrics/design_explorer_data/DefaultData/MassingOptionD_ExteriorWallU-Value(BTUhrft2F)0.055_ExteriorWindowTypesU-0.38SHGC-0.38VT-0.42_EXTWINDOW_WindowHeadHeightFactor1.0.json
A,0.042,Code,1,27.34,43.17,18.02,41.67,1.9,3.09,1.58,0,0.969,http://omati-regdes01/REPSParametrics/design_explorer_data/DefaultData/MassingOptionA_ExteriorWallU-Value(BTUhrft2F)0.042_ExteriorWindowTypesU-0.38SHGC-0.38VT-0.42_EXTWINDOW_WindowHeadHeightFactor1.0_DesignExplorerView.png,http://omati-regdes01/REPSParametrics/design_explorer_data/DefaultData/MassingOptionA_ExteriorWallU-Value(BTUhrft2F)0.042_ExteriorWindowTypesU-0.38SHGC-0.38VT-0.42_EXTWINDOW_WindowHeadHeightFactor1.0.json
B,0.042,Code,1,27.96,43.28,18.3,44.07,2.01,3.15,1.59,0,0.995,http://omati-regdes01/REPSParametrics/design_explorer_data/DefaultData/MassingOptionB_ExteriorWallU-Value(BTUhrft2F)0.042_ExteriorWindowTypesU-0.38SHGC-0.38VT-0.42_EXTWINDOW_WindowHeadHeightFactor1.0_DesignExplorerView.png,http://omati-regdes01/REPSParametrics/design_explorer_data/DefaultData/MassingOptionB_ExteriorWallU-Value(BTUhrft2F)0.042_ExteriorWindowTypesU-0.38SHGC-0.38VT-0.42_EXTWINDOW_WindowHeadHeightFactor1.0.json
C,0.042,Code,1,26.24,42,17.29,40.27,1.81,3.05,1.52,0,0.937,http://omati-regdes01/REPSParametrics/design_explorer_data/DefaultData/MassingOptionC_ExteriorWallU-Value(BTUhrft2F)0.042_ExteriorWindowTypesU-0.38SHGC-0.38VT-0.42_EXTWINDOW_WindowHeadHeightFactor1.0_DesignExplorerView.png,http://omati-regdes01/REPSParametrics/design_explorer_data/DefaultData/MassingOptionC_ExteriorWallU-Value(BTUhrft2F)0.042_ExteriorWindowTypesU-0.38SHGC-0.38VT-0.42_EXTWINDOW_WindowHeadHeightFactor1.0.json
D,0.042,Code,1,27.7,44.64,17.48,40.84,1.82,3.18,1.61,0,0.973,http://omati-regdes01/REPSParametrics/design_explorer_data/DefaultData/MassingOptionD_ExteriorWallU-Value(BTUhrft2F)0.042_ExteriorWindowTypesU-0.38SHGC-0.38VT-0.42_EXTWINDOW_WindowHeadHeightFactor1.0_DesignExplorerView.png,http://omati-regdes01/REPSParametrics/design_explorer_data/DefaultData/MassingOptionD_ExteriorWallU-Value(BTUhrft2F)0.042_ExteriorWindowTypesU-0.38SHGC-0.38VT-0.42_EXTWINDOW_WindowHeadHeightFactor1.0.json
A,0.055,Solarban 70,1,26.05,41.23,17.88,41.67,1.85,2.93,1.49,0,0.943,http://omati-regdes01/REPSParametrics/design_explorer_data/DefaultData/MassingOptionA_ExteriorWallU-Value(BTUhrft2F)0.055_ExteriorWindowTypesU-0.35SHGC-0.27VT-0.64_EXTWINDOW_WindowHeadHeightFactor1.0_DesignExplorerView.png,http://omati-regdes01/REPSParametrics/design_explorer_data/DefaultData/MassingOptionA_ExteriorWallU-Value(BTUhrft2F)0.055_ExteriorWindowTypesU-0.35SHGC-0.27VT-0.64_EXTWINDOW_WindowHeadHeightFactor1.0.json
B,0.055,Solarban 70,1,26.74,41.78,18.23,44.07,1.96,3,1.52,0,0.973,http://omati-regdes01/REPSParametrics/design_explorer_data/DefaultData/MassingOptionB_ExteriorWallU-Value(BTUhrft2F)0.055_ExteriorWindowTypesU-0.35SHGC-0.27VT-0.64_EXTWINDOW_WindowHeadHeightFactor1.0_DesignExplorerView.png,http://omati-regdes01/REPSParametrics/design_explorer_data/DefaultData/MassingOptionB_ExteriorWallU-Value(BTUhrft2F)0.055_ExteriorWindowTypesU-0.35SHGC-0.27VT-0.64_EXTWINDOW_WindowHeadHeightFactor1.0.json
C,0.055,Solarban 70,1,25.26,40.71,17.19,40.27,1.75,2.94,1.46,0,0.918,http://omati-regdes01/REPSParametrics/design_explorer_data/DefaultData/MassingOptionC_ExteriorWallU-Value(BTUhrft2F)0.055_ExteriorWindowTypesU-0.35SHGC-0.27VT-0.64_EXTWINDOW_WindowHeadHeightFactor1.0_DesignExplorerView.png,http://omati-regdes01/REPSParametrics/design_explorer_data/DefaultData/MassingOptionC_ExteriorWallU-Value(BTUhrft2F)0.055_ExteriorWindowTypesU-0.35SHGC-0.27VT-0.64_EXTWINDOW_WindowHeadHeightFactor1.0.json
D,0.055,Solarban 70,1,26.23,42.42,17.38,40.84,1.77,2.99,1.51,0,0.944,http://omati-regdes01/REPSParametrics/design_explorer_data/DefaultData/MassingOptionD_ExteriorWallU-Value(BTUhrft2F)0.055_ExteriorWindowTypesU-0.35SHGC-0.27VT-0.64_EXTWINDOW_WindowHeadHeightFactor1.0_DesignExplorerView.png,http://omati-regdes01/REPSParametrics/design_explorer_data/DefaultData/MassingOptionD_ExteriorWallU-Value(BTUhrft2F)0.055_ExteriorWindowTypesU-0.35SHGC-0.27VT-0.64_EXTWINDOW_WindowHeadHeightFactor1.0.json
A,0.042,Solarban 70,1,25.99,40.7,17.88,41.67,1.85,2.91,1.49,0,0.939,http://omati-regdes01/REPSParametrics/design_explorer_data/DefaultData/MassingOptionA_ExteriorWallU-Value(BTUhrft2F)0.042_ExteriorWindowTypesU-0.35SHGC-0.27VT-0.64_EXTWINDOW_WindowHeadHeightFactor1.0_DesignExplorerView.png,http://omati-regdes01/REPSParametrics/design_explorer_data/DefaultData/MassingOptionA_ExteriorWallU-Value(BTUhrft2F)0.042_ExteriorWindowTypesU-0.35SHGC-0.27VT-0.64_EXTWINDOW_WindowHeadHeightFactor1.0.json
B,0.042,Solarban 70,1,26.66,41.17,18.23,44.07,1.96,2.97,1.51,0,0.968,http://omati-regdes01/REPSParametrics/design_explorer_data/DefaultData/MassingOptionB_ExteriorWallU-Value(BTUhrft2F)0.042_ExteriorWindowTypesU-0.35SHGC-0.27VT-0.64_EXTWINDOW_WindowHeadHeightFactor1.0_DesignExplorerView.png,http://omati-regdes01/REPSParametrics/design_explorer_data/DefaultData/MassingOptionB_ExteriorWallU-Value(BTUhrft2F)0.042_ExteriorWindowTypesU-0.35SHGC-0.27VT-0.64_EXTWINDOW_WindowHeadHeightFactor1.0.json
C,0.042,Solarban 70,1,25.11,40.02,17.19,40.27,1.75,2.9,1.45,0,0.912,http://omati-regdes01/REPSParametrics/design_explorer_data/DefaultData/MassingOptionC_ExteriorWallU-Value(BTUhrft2F)0.042_ExteriorWindowTypesU-0.35SHGC-0.27VT-0.64_EXTWINDOW_WindowHeadHeightFactor1.0_DesignExplorerView.png,http://omati-regdes01/REPSParametrics/design_explorer_data/DefaultData/MassingOptionC_ExteriorWallU-Value(BTUhrft2F)0.042_ExteriorWindowTypesU-0.35SHGC-0.27VT-0.64_EXTWINDOW_WindowHeadHeightFactor1.0.json
D,0.042,Solarban 70,1,26.09,41.71,17.38,40.84,1.77,2.95,1.5,0,0.937,http://omati-regdes01/REPSParametrics/design_explorer_data/DefaultData/MassingOptionD_ExteriorWallU-Value(BTUhrft2F)0.042_ExteriorWindowTypesU-0.35SHGC-0.27VT-0.64_EXTWINDOW_WindowHeadHeightFactor1.0_DesignExplorerView.png,http://omati-regdes01/REPSParametrics/design_explorer_data/DefaultData/MassingOptionD_ExteriorWallU-Value(BTUhrft2F)0.042_ExteriorWindowTypesU-0.35SHGC-0.27VT-0.64_EXTWINDOW_WindowHeadHeightFactor1.0.json
